PersonID,FullName,PreferredName,SearchName,IsPermittedToLogon,LogonName,IsExternalLogonProvider,HashedPassword,IsSystemUser,IsEmployee,IsSalesperson,UserPreferences,PhoneNumber,FaxNumber,EmailAddress,Photo,CustomFields,OtherLanguages,LastEditedBy,ValidFrom,ValidTo
1,Data Conversion Only,Data Conversion Only,Data Conversion Only Data Conversion Only,0,NO LOGON,0,NULL,0,0,0,"{""theme"":""blitzer"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",NULL,NULL,NULL,NULL,NULL,NULL,1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
2,Kayla Woodcock,Kayla,Kayla Kayla Woodcock,1,kaylaw@wideworldimporters.com,0,0x616E9B558976525E7F14D780EBAE80C68586958DC97C506DB418E2E2C49E340E,1,1,1,"{""theme"":""humanity"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,kaylaw@wideworldimporters.com,NULL,"{ ""OtherLanguages"": [""Polish"",""Chinese"",""Japanese""] ,""HireDate"":""2008-04-19T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Plains"",""CommissionRate"":""0.98""}","[""Polish"",""Chinese"",""Japanese""]",1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
3,Hudson Onslow,Hudson,Hudson Hudson Onslow,1,hudsono@wideworldimporters.com,0,0x23668CCC579015EA934736C3D7B87E86360EB5EEE164C4368A7B103C11E3436E,1,1,1,"{""theme"":""dark-hive"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,hudsono@wideworldimporters.com,NULL,"{ ""OtherLanguages"": [] ,""HireDate"":""2012-03-05T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""New England"",""CommissionRate"":""3.62""}",[],1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
4,Isabella Rupp,Isabella,Isabella Isabella Rupp,1,isabellar@wideworldimporters.com,0,0xB45E7C4E37C32FA9A5A3161B9DB1C9C1E787BB7DB424E7FD7A20895D4BFB5D31,1,1,0,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,isabellar@wideworldimporters.com,NULL,"{ ""OtherLanguages"": [""Turkish"",""Slovenian""] ,""HireDate"":""2010-08-24T00:00:00"",""Title"":""Team Member""}","[""Turkish"",""Slovenian""]",1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
5,Eva Muirden,Eva,Eva Eva Muirden,0,evam@wideworldimporters.com,0,0xE682D36E43B6A3940ED6428B2DE3CEEDD1763C5E0EC02FFBDC35671F9B3E5F3A,1,1,0,"{""theme"":""le-frog"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,evam@wideworldimporters.com,NULL,"{ ""OtherLanguages"": [""Lithuanian""] ,""HireDate"":""2012-01-22T00:00:00"",""Title"":""Team Member""}","[""Lithuanian""]",1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
6,Sophia Hinton,Sophia,Sophia Sophia Hinton,1,sophiah@wideworldimporters.com,0,0x451BB10A515F06331540DB392031F9D9BC4EF536A1F86D1CA6C7394556BAA3C0,1,1,1,"{""theme"":""black-tie"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,sophiah@wideworldimporters.com,NULL,"{ ""OtherLanguages"": [""Swedish""] ,""HireDate"":""2007-05-14T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Southeast"",""CommissionRate"":""4.55""}","[""Swedish""]",1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
7,Amy Trefl,Amy,Amy Amy Trefl,1,amyt@wideworldimporters.com,0,0x7A92BBEA830C5ED027DCC1D710130EED9EA50FB3E6D5F793DDEFC4B50215033F,1,1,1,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,amyt@wideworldimporters.com,NULL,"{ ""OtherLanguages"": [""Slovak"",""Spanish"",""Polish""] ,""HireDate"":""2009-02-15T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Southeast"",""CommissionRate"":""0.58""}","[""Slovak"",""Spanish"",""Polish""]",1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
8,Anthony Grosse,Anthony,Anthony Anthony Grosse,1,anthonyg@wideworldimporters.com,0,0x2FD8B838A3C77778C990F464073AA23C0EEE019763ED6A99C77457E8691819DE,1,1,1,"{""theme"":""blitzer"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,anthonyg@wideworldimporters.com,NULL,"{ ""OtherLanguages"": [""Croatian"",""Dutch"",""Bokmål""] ,""HireDate"":""2010-07-23T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Mideast"",""CommissionRate"":""0.11""}","[""Croatian"",""Dutch"",""Bokmål""]",1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
9,Alica Fatnowna,Alica,Alica Alica Fatnowna,1,alicaf@wideworldimporters.com,0,0x7DFAB08E9AC574C5B15CF19D18E5B3EB466EAC7392F4295815B08221E78EA790,1,1,0,"{""theme"":""humanity"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,alicaf@wideworldimporters.com,NULL,"{ ""OtherLanguages"": [] ,""HireDate"":""2007-12-07T00:00:00"",""Title"":""General Manager""}",[],1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
10,Stella Rosenhain,Stella,Stella Stella Rosenhain,1,stellar@wideworldimporters.com,0,0x1BA4B55887E2BDCB06087A20E1CC608ADDCA538BABEC0441D2D6704DCAFE2EA4,1,1,0,"{""theme"":""dark-hive"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,stellar@wideworldimporters.com,NULL,"{ ""OtherLanguages"": [""Dutch"",""Finnish"",""Lithuanian""] ,""HireDate"":""2007-11-17T00:00:00"",""Title"":""Warehouse Supervisor""}","[""Dutch"",""Finnish"",""Lithuanian""]",1,2016-05-31 23:14:00.0000000,9999-12-31 23:59:59.9999999
